"resource","status","owner","evidence","notes"
"ui\\AddressBook","scaled","phase-4-task1","Sources/src/UI/UIScreen.cpp::ShouldScaleLegacyLayout",""
"ui\\AddUnitToMission","scaled","phase-4-task1","Sources/src/UI/UIScreen.cpp::ShouldScaleLegacyLayout",""
"ui\\common\\campaign","scaled","phase-4-task1","Sources/src/UI/UIScreen.cpp::ShouldScaleLegacyLayout",""
"ui\\common\\chapter","scaled","phase-4-task1","Sources/src/UI/UIScreen.cpp::ShouldScaleLegacyLayout",""
"ui\\common\\mission","scaled","phase-4-task1","Sources/src/UI/UIScreen.cpp::ShouldScaleLegacyLayout",""
"ui\\encyclopedia","scaled","phase-4-task1","Sources/src/UI/UIScreen.cpp::ShouldScaleLegacyLayout",""
"ui\\lists\\IMCutsceneList","scaled","phase-4-task1","Sources/src/UI/UIScreen.cpp::ShouldScaleLegacyLayout",""
"ui\\LoadMission","scaled","phase-4-task1","Sources/src/UI/UIScreen.cpp::ShouldScaleLegacyLayout",""
"ui\\mainmenu","scaled","phase-4-task1","Sources/src/UI/UIScreen.cpp::ShouldScaleLegacyLayout",""
"ui\\mission","scaled","phase-4-task1","Sources/src/UI/UIScreen.cpp::ShouldScaleLegacyLayout",""
"ui\\MissionOptionsSettings","scaled","phase-4-task1","Sources/src/UI/UIScreen.cpp::ShouldScaleLegacyLayout",""
"ui\\MPMapSettings","scaled","phase-4-task1","Sources/src/UI/UIScreen.cpp::ShouldScaleLegacyLayout",""
"ui\\MPMapSettings_NoChanges","scaled","phase-4-task1","Sources/src/UI/UIScreen.cpp::ShouldScaleLegacyLayout",""
"ui\\MuptiplayerChat","scaled","phase-4-task1","Sources/src/UI/UIScreen.cpp::ShouldScaleLegacyLayout",""
"ui\\MuptiplayerCreateGame","scaled","phase-4-task1","Sources/src/UI/UIScreen.cpp::ShouldScaleLegacyLayout",""
"ui\\MuptiplayerGamesList","scaled","phase-4-task1","Sources/src/UI/UIScreen.cpp::ShouldScaleLegacyLayout",""
"ui\\MuptiplayerStartingGame","scaled","phase-4-task1","Sources/src/UI/UIScreen.cpp::ShouldScaleLegacyLayout",""
"ui\\OptionsSettings","scaled","phase-4-task1","Sources/src/UI/UIScreen.cpp::ShouldScaleLegacyLayout",""
"ui\\PlayerProfile","scaled","phase-4-task1","Sources/src/UI/UIScreen.cpp::ShouldScaleLegacyLayout",""
"ui\\PlayerStats","scaled","phase-4-task1","Sources/src/UI/UIScreen.cpp::ShouldScaleLegacyLayout",""
"ui\\Popup\\DontHaveMod","scaled","phase-4-task1","Sources/src/UI/UIScreen.cpp::ShouldScaleLegacyLayout",""
"ui\\Popup\\IMTutorial","scaled","phase-4-task1","Sources/src/UI/UIScreen.cpp::ShouldScaleLegacyLayout",""
"ui\\Popup\\MessageBox","scaled","phase-4-task1","Sources/src/UI/UIScreen.cpp::ShouldScaleLegacyLayout",""
"ui\\Popup\\MessageBoxMission","scaled","phase-4-task1","Sources/src/UI/UIScreen.cpp::ShouldScaleLegacyLayout",""
"ui\\Popup\\NewDepotUpgrades","scaled","phase-4-task1","Sources/src/UI/UIScreen.cpp::ShouldScaleLegacyLayout",""
"ui\\Popup\\NextChapter","scaled","phase-4-task1","Sources/src/UI/UIScreen.cpp::ShouldScaleLegacyLayout",""
"ui\\Popup\\NextChapterNoStay","scaled","phase-4-task1","Sources/src/UI/UIScreen.cpp::ShouldScaleLegacyLayout",""
"ui\\Popup\\PlayerRank","scaled","phase-4-task1","Sources/src/UI/UIScreen.cpp::ShouldScaleLegacyLayout",""
"ui\\Popup\\SaveReplay","scaled","phase-4-task1","Sources/src/UI/UIScreen.cpp::ShouldScaleLegacyLayout",""
"ui\\Popup\\SwitchModTo","scaled","phase-4-task1","Sources/src/UI/UIScreen.cpp::ShouldScaleLegacyLayout",""
"ui\\quitmission","scaled","phase-4-task1","Sources/src/UI/UIScreen.cpp::ShouldScaleLegacyLayout",""
"ui\\savemission","scaled","phase-4-task1","Sources/src/UI/UIScreen.cpp::ShouldScaleLegacyLayout",""
"ui\\stats","scaled","phase-4-task1","Sources/src/UI/UIScreen.cpp::ShouldScaleLegacyLayout",""
"ui\\TotalEncyclopedia","scaled","phase-4-task1","Sources/src/UI/UIScreen.cpp::ShouldScaleLegacyLayout",""
"ui\\UnitsMissionPerformance","scaled","phase-4-task1","Sources/src/UI/UIScreen.cpp::ShouldScaleLegacyLayout",""
"ui\\unitspool","scaled","phase-4-task1","Sources/src/UI/UIScreen.cpp::ShouldScaleLegacyLayout",""
"ui\\upgrades","scaled","phase-4-task1","Sources/src/UI/UIScreen.cpp::ShouldScaleLegacyLayout",""
"ui\\Warehouse","scaled","phase-4-task1","Sources/src/UI/UIScreen.cpp::ShouldScaleLegacyLayout",""
